9ujhMcr;15;1
CCRiZ2S;15;1
xG4Aa7z;15;1
Xbn2pph;15;1
1UMMhrZ;15;1
r8IyVSd;15;1
9NowAOt;15;1
YXhv5Lm;15;1
t5pxXjL;15;1
SfGSK2g;15;1
yMT7UWv;15;1
EQuy3pe;15;1
8VDKE5X;15;1
mdFNYTr;15;1
ZoqwwTh;15;1
d2ZD9Hd;15;1
rPSnH5e;15;1
l3oALml;15;1
Int5deO;15;1
BecGF74;15;1
DwhFPq2l;15;1
4UhPt4DK;15;0
Y3LCfAEQ;15;1
4WLGL1SO;15;1
LMqcimkr;15;0
YaeQwEPT;15;1
txpe9bod;15;1
1AK2PvKd;15;1
bDeQNABM;15;1
StNfvYuA;15;1
h2nnLOOJ;15;1
ynlRLsMD;15;1
zbO2A8f2;15;1
6NvQyjSd;15;1
gkVXhxCx;15;1
ZEszpTaA;15;0
RjPtjBai;15;1
Wuq7s7lp;15;0
FiLAGYvc;15;1
Jrd5QQNm;15;1
EXHYIqiE;15;1
lYvaajWq;15;1
jeLDulT4;15;1
bykU6CTz;15;1
80FomIkq;15;1
LkJhZT49;15;1
DSwcuzas;15;1
dMWkgxIS;15;1
e5ckNHeL;15;1
4u2kMMes;15;1
igvyur8;15;1
Dm4IGaZ;15;1
KqAjkrm;15;1
qctCgz0;15;1
GJZmHB5;15;1
H6OAluS;15;1
ztyOCT4;15;1
LFZRjX1;15;1
eb6o2i7;15;1
Mew9J4c;15;1
uWT97E0;15;1
S5YNP54;15;1
eaExNdD;15;1
4SmslVX;15;1
ocP3Z1q;15;1
SgSmtbv;15;1
ghKmmcI;15;1
e1L50Iz;15;1
eHQVTdE;15;1
2jUZeOw;15;1
J7uPwV5;15;1
FQrriUo;15;1
KVZIRb1;15;1
kztA7Lo;15;1
cQnCJ64;15;1
zFr0HQq;15;1
1J6qqd1;15;1
pZ0ooXz;15;1
IbpykRC;15;1
9eZIYuk;15;1
pIRkvKt;15;1
0wkRIxX;15;1
1woviF1;15;1
EcCx8Y1;15;1
FhRBSQ9;15;1
